Stock ID,8:00:00,8:01:00,8:02:00,8:03:00,8:04:00,8:05:00,8:06:00,8:07:00,8:08:00,8:09:00,8:10:00,8:11:00,8:12:00,8:13:00,8:14:00,8:15:00,8:16:00,8:17:00,8:18:00,8:19:00,8:20:00,8:21:00,8:22:00,8:23:00,8:24:00,8:25:00,8:26:00,8:27:00,8:28:00,8:29:00,8:30:00,8:31:00,8:32:00,8:33:00,8:34:00,8:35:00,8:36:00,8:37:00,8:38:00,8:39:00,8:40:00,8:41:00,8:42:00,8:43:00,8:44:00,8:45:00,8:46:00,8:47:00,8:48:00,8:49:00,8:50:00,8:51:00,8:52:00,8:53:00,8:54:00,8:55:00,8:56:00,8:57:00,8:58:00,8:59:00,9:00:00,9:01:00,9:02:00,9:03:00,9:04:00,9:05:00,9:06:00,9:07:00,9:08:00,9:09:00,9:10:00,9:11:00,9:12:00,9:13:00,9:14:00,9:15:00,9:16:00,9:17:00,9:18:00,9:19:00,9:20:00,9:21:00,9:22:00,9:23:00,9:24:00,9:25:00,9:26:00,9:27:00,9:28:00,9:29:00,.9 - <1.1 Ratio,>1.1 - <1.2 Ratio,1.2 - <1.35 Ratio,1.35 - <1.50 Ratio,1.5+ Ratio,.01 - .5 Price,.5 - 1 Price,1 - 2 Price,2 - 3 Price,3 - 5 Price,5 - 10 Price,10 - 14 Price,>14 Price,<1M Vol,1M - <3M Vol,3M - <5M Vol,5M - <10M Vol,10M - 20M Vol,>20M Vol,IsTuesday,IsWednesday,IsThursday,IsFriday,ActualOutcome
1625,1.227714749,1.252025932,1.295786062,1.271474878,1.26012966,1.286061588,1.280388979,1.253646677,1.247974068,1.250405186,1.24554295,1.255267423,1.26012966,1.268233387,1.266612642,1.249594814,1.278768233,1.304700162,1.296596434,1.288492707,1.262560778,1.289303079,1.256077796,1.256888169,1.277957861,1.271474878,1.272285251,1.264181524,1.260940032,1.272285251,1.272285251,1.272285251,1.272285251,1.264181524,1.271474878,1.271474878,1.272285251,1.289303079,1.289303079,1.280388979,1.280388979,1.256077796,1.256888169,1.253646677,1.243922204,1.234197731,1.236628849,1.242301459,1.256077796,1.26012966,1.270664506,1.28363047,1.262560778,1.296596434,1.296596434,1.297406807,1.305510535,1.3273906,1.315235008,1.3273906,1.326580227,1.316855754,1.320907618,1.304700162,1.304700162,1.311183144,1.280388979,1.29821718,1.300648298,1.280388979,1.292544571,1.292544571,1.284440843,1.296596434,1.296596434,1.296596434,1.280388979,1.280388979,1.281199352,1.287682334,1.286061588,1.287682334,1.241491086,1.21636953,1.219611021,1.219611021,1.226094003,1.259319287,1.258508914,1.247974068,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1626,1.402298851,1.310344828,1.315517241,1.300574713,1.298850575,1.281609195,1.260344828,1.240804598,1.231609195,1.227011494,1.235632184,1.217816092,1.186781609,1.172988506,1.152298851,1.132758621,1.13045977,1.177586207,1.170689655,1.164367816,1.176436782,1.183908046,1.186781609,1.206896552,1.206896552,1.206321839,1.183908046,1.155747126,1.163793103,1.173563218,1.174712644,1.187931034,1.187356322,1.189655172,1.224137931,1.213793103,1.235632184,1.232758621,1.24137931,1.264942529,1.298850575,1.298850575,1.264367816,1.275862069,1.268390805,1.275862069,1.275862069,1.264367816,1.275287356,1.334482759,1.331034483,1.332758621,1.320114943,1.307471264,1.312643678,1.32183908,1.32183908,1.318965517,1.316091954,1.310344828,1.32183908,1.310344828,1.327011494,1.321264368,1.316091954,1.281609195,1.275862069,1.306896552,1.306321839,1.320689655,1.320689655,1.316091954,1.276436782,1.301724138,1.266666667,1.263793103,1.247126437,1.214942529,1.224712644,1.22816092,1.261494253,1.249425287,1.261494253,1.255747126,1.249425287,1.246551724,1.240804598,1.246551724,1.240229885,1.217241379,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1627,1.429980276,1.380670611,1.370808679,1.356015779,1.343195266,1.353057199,1.353057199,1.34122288,1.340236686,1.379684418,1.379684418,1.379684418,1.418145957,1.381656805,1.392504931,1.387573964,1.384615385,1.380670611,1.376725838,1.354043393,1.353057199,1.340236686,1.366863905,1.374753452,1.353057199,1.350098619,1.351084813,1.351084813,1.328402367,1.32642998,1.32642998,1.32642998,1.287968442,1.311637081,1.293885602,1.312623274,1.330374753,1.304733728,1.306706114,1.32938856,1.358974359,1.34122288,1.369822485,1.378698225,1.361932939,1.352071006,1.370808679,1.378698225,1.399408284,1.381656805,1.390532544,1.386587771,1.380670611,1.373767258,1.351084813,1.351084813,1.358974359,1.379684418,1.386587771,1.380670611,1.379684418,1.355029586,1.385601578,1.386587771,1.378698225,1.380670611,1.370808679,1.379684418,1.380670611,1.379684418,1.362919132,1.363905325,1.359960552,1.351084813,1.339250493,1.327416174,1.327416174,1.307692308,1.314595661,1.319526627,1.359960552,1.33234714,1.336291913,1.347140039,1.360946746,1.353057199,1.353057199,1.33530572,1.3382643,1.3382643,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1628,1.046677215,1.068037975,1.044303797,1.091772152,1.186708861,1.117088608,1.107594937,1.107594937,1.099683544,1.099683544,1.08306962,1.099683544,1.067246835,1.068037975,1.053006329,1.068037975,1.060126582,1.068037975,1.091772152,1.08306962,1.083860759,1.106803797,1.163765823,1.147950949,1.16693038,1.174849684,1.186708861,1.178797468,1.155063291,1.155063291,1.174841772,1.168512658,1.140822785,1.15585443,1.147151899,1.147151899,1.15585443,1.170886076,1.165348101,1.174841772,1.194620253,1.21835443,1.238924051,1.252373418,1.236550633,1.236550633,1.257911392,1.265822785,1.262658228,1.257911392,1.196993671,1.202531646,1.21835443,1.21835443,1.211234177,1.173259494,1.139240506,1.151107595,1.15585443,1.185126582,1.249208861,1.265031646,1.259493671,1.215189873,1.221518987,1.236550633,1.207278481,1.232594937,1.236550633,1.256329114,1.27056962,1.261075949,1.250791139,1.221518987,1.237341772,1.237341772,1.210443038,1.202531646,1.202531646,1.205696203,1.182753165,1.202531646,1.210443038,1.231803797,1.231012658,1.21835443,1.248417722,1.248417722,1.234177215,1.226265823,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1629,0.9873060649,0.9873060649,1.057827927,1.057827927,1.057827927,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9802538787,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9858956276,0.9858956276,0.9858956276,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9858956276,0.9858956276,0.9858956276,0.9858956276,0.9858956276,0.9858956276,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9873060649,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9788434415,0.9802538787,0.9788434415,0.9788434415,1.053596615,1.096614951,1.167842031,1.149506347,1.207334274,1.376586742,1.394922426,1.473906911,1.49506347,1.473906911,1.516220028,1.645980254,1.550070522,1.534555712,1.643159379,1.547249647,1.585331453,1.548660085,1.41325811,1.452750353,1.410437236,1.322990127,1.332863188,1.449929478,1.409026798,1.366713681,1.406205924,1.421720733,1.407616361,1.410437236,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1630,1.70862069,1.75862069,1.495689655,1.551724138,1.663793103,1.679310345,1.703448276,1.712931034,1.709482759,1.71637931,1.74137931,1.752586207,1.73362069,1.757758621,1.782758621,1.776724138,1.775,1.789655172,1.784482759,1.787931034,1.737068966,1.702586207,1.725862069,1.712931034,1.736206897,1.712931034,1.731896552,1.731034483,1.74137931,1.736206897,1.762931034,1.789655172,1.786206897,1.793103448,1.982758621,1.95,1.98362069,1.943965517,1.878448276,1.894827586,1.894827586,1.914655172,1.957758621,1.989655172,2.060344828,2.137931034,2.089655172,2.179310345,2.187931034,2.198275862,2.179310345,2.195689655,2.117241379,2.124137931,2.082758621,2.102586207,2.155172414,2.155172414,2.119827586,2.072413793,2.112068966,2.146551724,2.13362069,2.107758621,2.089655172,2.069827586,2.070689655,2.018965517,1.992241379,1.989655172,1.982758621,1.94137931,2.006034483,2.006034483,2.040517241,1.99137931,2.011206897,2.025862069,2.012931034,1.982758621,1.938793103,1.926724138,1.982758621,1.997413793,1.972413793,1.959482759,1.922413793,1.934482759,1.925,1.906034483,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1631,1.123241418,1.106921778,1.14969049,1.126055149,1.124366911,1.114237479,1.125492403,1.125492403,1.127743388,1.127743388,1.126055149,1.130557119,1.150253236,1.160664041,1.148002251,1.151941474,1.155317952,1.148002251,1.136184581,1.146876759,1.136747327,1.136747327,1.135621835,1.131119865,1.125492403,1.127743388,1.134496342,1.125492403,1.132245357,1.135621835,1.153066967,1.150815982,1.128306134,1.162070906,1.164884637,1.170512099,1.153629713,1.16150816,1.159257175,1.160945414,1.133933596,1.150253236,1.142374789,1.147439505,1.142374789,1.142374789,1.152504221,1.149127743,1.149127743,1.133933596,1.143500281,1.151378728,1.137310073,1.139561058,1.139561058,1.148002251,1.148564997,1.138435566,1.133933596,1.136184581,1.135059088,1.16150816,1.180641531,1.176139561,1.193584693,1.220033765,1.221159257,1.204276871,1.218908272,1.229037704,1.229037704,1.254924029,1.293190771,1.30669668,1.310635903,1.293753517,1.262802476,1.294316263,1.294316263,1.288126055,1.258300506,1.255486775,1.256049522,1.235790658,1.243669105,1.254361283,1.253798537,1.256049522,1.256049522,1.25042206,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1632,1.657142857,1.664285714,1.697142857,1.695714286,1.713571429,1.712142857,1.671428571,1.674285714,1.665,1.672857143,1.646428571,1.629285714,1.633571429,1.642857143,1.654285714,1.667857143,1.656428571,1.642857143,1.656428571,1.652142857,1.647857143,1.642142857,1.613571429,1.592857143,1.592857143,1.612857143,1.6,1.607142857,1.606428571,1.6,1.614285714,1.622857143,1.612142857,1.631428571,1.635,1.611428571,1.606428571,1.607857143,1.6,1.6,1.575,1.585714286,1.607142857,1.605714286,1.611428571,1.61,1.598571429,1.597857143,1.594285714,1.578571429,1.59,1.576428571,1.58,1.582142857,1.581428571,1.589285714,1.567857143,1.562142857,1.563571429,1.557142857,1.564285714,1.548571429,1.55,1.507142857,1.512857143,1.512857143,1.525,1.539285714,1.539285714,1.567142857,1.536428571,1.543571429,1.54,1.525714286,1.517857143,1.552857143,1.570714286,1.561428571,1.564285714,1.564285714,1.562142857,1.56,1.542142857,1.525,1.527857143,1.537142857,1.549285714,1.535714286,1.528571429,1.52,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1633,1.791293532,2.010447761,1.810447761,1.846268657,1.880597015,1.877114428,1.900497512,1.878109453,1.921393035,1.938308458,1.948258706,1.919402985,1.885074627,1.894029851,1.865671642,1.826368159,1.825870647,1.84079602,1.834825871,1.808457711,1.796517413,1.797512438,1.8039801,1.823880597,1.82039801,1.813432836,1.7960199,1.791044776,1.7960199,1.776119403,1.78159204,1.775124378,1.774626866,1.72238806,1.666666667,1.699004975,1.692039801,1.736318408,1.742288557,1.766169154,1.770149254,1.741293532,2.174129353,1.726368159,1.743283582,1.743283582,1.766169154,1.76119403,1.740298507,1.708955224,1.68358209,1.682089552,1.689054726,1.677114428,1.673134328,1.672139303,1.665671642,1.690547264,1.697014925,1.721393035,1.751243781,1.733830846,1.726865672,1.728358209,1.717910448,1.733333333,1.697014925,1.708457711,1.708457711,1.71641791,1.721393035,1.733333333,1.691542289,1.690547264,1.656716418,1.658208955,1.643781095,1.652238806,1.666666667,1.661691542,1.705970149,1.672139303,1.690547264,1.679104478,1.678109453,1.65721393,1.703482587,1.702487562,1.691542289,1.680099502,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1634,1.20967118,1.20967118,1.198839458,1.228239845,1.218568665,1.220502901,1.229400387,1.237911025,1.291295938,1.276595745,1.264990329,1.269245648,1.289361702,1.26073501,1.258413926,1.28549323,1.270793037,1.272727273,1.242940039,1.256866538,1.264990329,1.274274662,1.241005803,1.237911025,1.262282398,1.257253385,1.246421663,1.247969052,1.242166344,1.252224371,1.26615087,1.252224371,1.256866538,1.251837524,1.247582205,1.242553191,1.242940039,1.239845261,1.230174081,1.223984526,1.226692456,1.235203095,1.230947776,1.222437137,1.230560928,1.226305609,1.229787234,1.229400387,1.221276596,1.220889749,1.211992263,1.215473888,1.203481625,1.213152805,1.213152805,1.214313346,1.222823985,1.237524178,1.233655706,1.233655706,1.230947776,1.230174081,1.230560928,1.242940039,1.256092843,1.284332689,1.259961315,1.254545455,1.252998066,1.251450677,1.242940039,1.237524178,1.237524178,1.246808511,1.237524178,1.232495164,1.218955513,1.222437137,1.218955513,1.213152805,1.20696325,1.164023211,1.167504836,1.152804642,1.191102515,1.172147002,1.172533849,1.183365571,1.194970986,1.179497099,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
